版本,严重程度,问题标题,漏洞描述,引用编号
v4.2,中危,Browser/profiles 远程浏览器 SSRF,远程浏览器配置文件 cdpUrl 值在保存配置前未验证是否违反严格 SSRF 策略,#60477
v4.2,中危,Gateway/session kill 未授权探测,HTTP 操作员作用域未在会话终止请求上强制执行 未认证调用者可探测会话存在,#59128
v4.2,中危,QQBot/structured payloads 本地文件路径,本地文件路径未限制到 QQ Bot 拥有的媒体存储 可在该根之外遍历,#58453
v4.5,高危,Browser/SSRF 重定向绕过,浏览器工具在处理交互驱动的导航时未重新执行 SSRF 安全检查 点击 提交 键盘和当前页面快照流在禁止目标上未失败关闭,#62023
v4.5,高危,Device pairing 令牌作用域升级,设备配对令牌可轮换到配对期间从未批准的角色 重连角色检查未绑定到配对设备的批准角色集,#60462
v4.5,高危,Gateway/plugin routes 插件 HTTP 处理程序权限提升,插件 HTTP 处理程序在缺少或不受信任的 HTTP scope 头部时获得管理员级运行时作用域 插件拥有的 webhook 处理程序默认继承可写运行时访问,#59815
v4.5,高危,Device pairing 引导验证作用域升级,非操作员设备作用域检查未绑定到请求的角色前缀 引导验证可通过 node 认证兑换 operator.* 作用域,#57258
v4.5,高危,Mobile pairing 安全端点处理,Tailscale 和公共远程设置接受明文端点 私有 LAN 配对处理不一致 合并角色批准铸造不正确的令牌作用域,#60128 #60208 #60221
v4.5,高危,Android/canvas security A2UI URL 验证,Android canvas 桥接操作未严格验证 URL 接受查询不匹配和后代路径,#60128 #60208 #60221
v4.5,高危,Plugins/marketplace 符号链接逃逸,远程市场安装可通过符号链接逃逸 绕过预期的安装路径约束,#60556
v4.5,高危,Lobster 任意执行漏洞,通过 lobsterPath/cwd 可执行任意代码,GHSA-4mhr-g7xj-cg8j
v4.5,高危,Sandbox 远程文件系统桥接读取竞争条件,沙箱远程文件系统桥接读取存在路径解析竞争条件 读取访问可竞争路径解析,#58024
v4.5,高危,Agents/Claude CLI 配置根环境变量覆盖,OpenClaw 启动的 Claude CLI 运行可被指向具有不同钩子 插件或认证上下文的备用配置/插件树,v4.5
v4.5,高危,Agents/Claude CLI 提供者路由环境变量覆盖,Claude CLI 后门会话可被静默重定向到代理 Bedrock Vertex Foundry 或父管理的令牌上下文,v4.5
v4.5,高危,Agents/Claude CLI 权限模式绕过,自定义 cliBackends.claude-cli.args 可能意外使用错误的权限模式 仓库本地 .claude 设置在非交互会话中执行,v4.5
v4.5,高危,Gateway/device pairing 配对令牌范围检查,非操作员设备会话可管理其他设备的令牌轮换/撤销和配对设备移除 允许配对作用域内的跨设备令牌窃取,#50627
v4.5,高危,Mobile pairing/Android 安全端点,安卓手动和扫描路由接受非回环明文网关连接 私有 LAN 和链本地 ws:// 端点未正确失败关闭,#60128 #60208 #60221
v4.5,高危,Mobile pairing/bootstrap 引导令牌作用域,QR 引导移交令牌未绑定到移动安全合约 节点移交保持无作用域 操作员移交携带混合作用域,v4.5
v4.5,中危,Security 工具白名单保留,限制性仅插件工具白名单未保留 before_tool_call 钩子崩溃时未失败关闭 非交互式认证选择推断范围超出捆绑和已信任插件,#58476 #59836 #59822 #58771 #59120
v4.5,中危,Synology Chat HTTPS 验证,低级 HTTPS 助手 TLS 验证默认关闭 与安全账户默认不匹配,v4.5
v4.5,中危,Telegram/local Bot API 私有网络访问,本地 Bot API 配置缺乏私有网络访问控制 绝对 Bot API file_path 值可在可信根之外读取,#59544 #60705
v4.5,中危,Tools/web_fetch 受信任代理路径,缺少受信任代理安装的显式路径 严格 SSRF 获取和代理路由混合,#50650
v4.5,中危,Exec/env Python 包索引覆盖,Python 包索引覆盖变量未从请求作用域主机执行环境清理中阻止 包获取可通过调用者提供的索引重定向,v4.5
v4.5,中危,Sandbox 沙箱文件系统桥接写入路径锚定,沙箱文件系统桥接的写入操作未正确锚定到规范父路径 可能导致路径逃逸,#5335
v4.7,高危,Host exec/env 环境变量注入,主机执行工具未过滤危险的环境变量 攻击者可通过设置特定环境变量重定向代码执行 配置路径或凭证,#59119 #62002 #62291
v4.7,高危,MS Teams 文件上传 SSRF 漏洞,Microsoft Teams 的 fileConsent/invoke 端点在上传附件时未验证 uploadInfo.uploadUrl 攻击者可通过构造恶意 URL 访问内部网络资源,#23596
v4.7,高危,QQ Bot 图片尺寸探测 SSRF,QQ Bot 在探测图片尺寸时使用原始 fetch() 访问任意远程主机 可被利用访问内部资源,#63495
v4.7,高危,Network/fetch guard 重定向信息泄露,跨源 307/308 重定向时未丢弃请求体和描述性头部 攻击者控制的重定向可接收包含秘密的 POST 载荷,#62357
v4.7,高危,Browser/SSRF 主框架文档重定向,主框架 document 重定向跳转未被 Playwright 标记为 isNavigationRequest() 严格私有网络阻止未能阻止禁止的重定向枢轴,#62355
v4.7,高危,Gateway/auth 会话失效延迟,当共享令牌或密码轮换时 现有的 WebSocket 会话仍然保持连接 过期凭证继续有效,#62350
v4.7,高危,Commands/allowlist 授权绕过,非所有者但具有命令授权的发送者可以持久重写允许列表策略状态,#62383
v4.7,高危,Gateway config.apply 执行审批路径篡改,模型可通过 gateway config.apply 和 config.patch 修改执行审批路径配置 绕过安全限制,#62001
v4.7,高危,Feishu/docx uploads 工作区限制绕过,当启用 tools.fs.workspaceOnly 时 飞书文档上传仍可读取工作区外的本地文件,#62369
v4.7,高危,Browser/node invoke 浏览器配置文件持久化绕过,通过 browser.proxy 可在网关转发和节点主机代理路径上创建 重置和删除浏览器配置文件 即使未配置配置文件允许列表,#60489
v4.7,高危,Gateway/node pairing 节点命令升级,之前配对的节点重新连接时带有额外声明的命令 会话立即升级到新命令集而无需批准,#62658
v4.7,高危,Media/base64 解码字节限制绕过,Teams Signal QQ Bot 和图像工具的 base64 载荷在解码前未强制执行字节限制 超大入站媒体和数据 URL 绕过预解码大小检查,#62007
v4.7,高危,Runtime event trust 运行时事件信任边界,后台 notifyOnExit 摘要 ACP 父流中继和唤醒钩子载荷被标记为受信任的系统事件 低信任运行时输出作为受信任的 System: 文本重新进入后续轮次,#62003
v4.7,高危,Plugins/ClawHub 归档完整性验证,从 ClawHub 安装插件时未验证归档完整性 归档完整性元数据缺失或格式错误时继续安装,#60517
v4.7,高危,Channels/setup 目录信任绕过,工作区作用域覆盖绕过可信目录检查 非信任的工作区通道插件在设置目录查找期间覆盖捆绑的可信设置目录条目,GHSA-82qx-6vj7-p8m2
v4.7,中危,Nodes/exec approvals POSIX shell 包装器,节点主机 system.run 审批在异步转发期间丢失操作数绑定 Windows cmd.exe 包装器运行绕过审批门控,#62401 #62439
v4.7,中危,Git/env 环境变量清理扩展,额外的 Git 仓库管道环境变量如 GIT_DIR GIT_WORK_TREE 等未阻止 主机运行的 Git 命令可通过继承或请求作用域环境重定向到攻击者选择的仓库状态,#62002
v4.7,中危,Security/fetch-guard 代理主机名拒绝,操作员配置的代理主机名被错误地拒绝目标作用域主机名白名单 SSRF 保护获取错误阻止有效代理路由,#62312
v4.7,中危,Matrix/agents 非所有者工具暴露,嵌入代理通道操作发现暴露所有者专用 set-profile 工具 非所有者运行无法执行但仍然广播,#62662
v4.7,中危,Auto-reply/media 生成媒体路径注入,管理的生成媒体 MEDIA: 路径被阻止 任意主机本地媒体和文档路径仍可通过回复文本注入,v4.7
v4.8,中危,Network/fetch guard 代理 DNS 解析,受信任环境代理模式活动时 目标 DNS 固定仍阻止代理解析出站主机 仅代理沙箱无法使用可信代理解析,#59007
v4.8,中危,Slack/actions SecretRef 令牌解析,downloadFile 未将已解析的读取令牌传入 SecretRef 支持的机器人令牌在原始配置重读后失败,#62097
v4.9,高危,Browser/security 交互导航 SSRF 绕过,浏览器交互驱动的主帧导航后未重新运行阻止目标安全检查 来自点击 评估 钩子触发点击和批处理动作流的延迟 JS 重定向绕过 SSRF 隔离,#63226
v4.9,高危,Security/dotenv 运行时控制环境变量,运行时控制环境变量和浏览器控制覆盖 跳过服务器环境变量从未信任的工作区 .env 文件阻止 不安全 URL 样式的浏览器控制覆盖规范器延迟加载前未拒绝,#62660 #62663
v4.9,高危,Gateway/node exec events 节点输出信任边界,远程节点 exec.started exec.finished 和 exec.denied 摘要标记为受信任系统事件 节点提供的命令/输出/原因文本未清理 远程节点输出可作为受信任 System: 内容注入后续轮次,#62659
v4.9,高危,Plugins/onboarding auth choices 认证选择碰撞,非信任工作区插件在非交互式引导期间与捆绑提供者认证选择 ID 碰撞 捆绑提供者设置将操作员秘密放入非信任工作区插件处理器,#62368
v4.9,中危,Security/dependency audit 依赖漏洞,basic-ftp 存在 CRLF 命令注入漏洞 Hono 和 @hono/node-server 需要更新,v4.9
v4.9,中危,Telegram/allowlist 发送者验证,Telegram allowFrom 发送者验证松散 /whoami 白名单报告与命令授权检查不同步,v4.9
v4.10,高危,Browser/security 全面导航防御强化,浏览器和沙箱导航防御在多个领域松散: 严格 SSRF 默认 主机名白名单 交互驱动重定向 子帧 CDP 发现 现有会话 标签动作 noVNC 标记跨度清理和 Docker CDP 源范围执行,#61404 #63332 #63882 #63885 #63889 #64367 #64370 #64371
v4.10,高危,Security/tools 工具安全加固,执行预检读取 主机环境拒绝列表 节点输出边界 出站主机媒体读取 配置文件变更授权 插件安装依赖扫描 ACPX 工具钩子 Gmail 监视器令牌修订和超大实时 WebSocket 帧处理存在安全弱点,#62333 #62661 #62662 #63277 #63551 #63553 #63886 #63890 #63891 #64459
v4.10,高危,Security/QQBot 媒体存储边界,QQ Bot 出站本地文件路径未强制执行媒体存储边界 图像尺寸探测使用原始 fetch() 而非 SSRF 保护的媒体获取,#63271 #63495
v4.10,高危,Security/dependencies 恶意包阻止,axios 存在安全漏洞 插件安装依赖扫描未阻止已知恶意包,#63891
v4.10,高危,Browser/security 三阶段交互导航保护,pressKey 和 type(submit) 的延迟 JS 重定向未应用 SSRF 策略后期检查 可绕过 SSRF 策略,#63889
v4.10,高危,Browser/security 现有会话 Chrome MCP 交互路由,现有会话 Chrome MCP 交互路由未使用 SSRF 后期检查保护 来自点击 类型 按键和评估的延迟导航可绕过配置的策略,#64370
v4.10,高危,Browser/security 默认严格 SSRF 模式,浏览器 SSRF 策略未默认为严格模式 未配置安装不阻止私有网络导航 外部内容标记跨度映射未完全清理 ZWS 注入边界欺骗,#63885
v4.10,高危,Browser/security 子帧文档导航 SSRF,SSRF 导航策略未应用到子帧文档导航 iframe 目标的私有网络跳转未阻止,#64371
v4.10,高危,Browser/security 主机名导航严格策略,严格策略主机名导航未拒绝非白名单例外或 IP 字面量的主机名 CDP HTTP 发现未路由到固定 SSRF 获取路径,#64367
v4.10,高危,Hooks/security 钩子系统事件信任,代理钩子系统事件标记为受信任 钩子显示名称在 cron 元数据重用前未清理,#64372
v4.10,高危,Media/security 发送者作用域工具策略,出站主机媒体读取未遵守发送者作用域 toolsBySender 策略 被拒绝的发送者可通过附件水化触发主机文件披露,#64459
v4.10,中危,Agents/inbound metadata NUL 字节注入,序列化入站上下文块中的 NUL 字节未在到达后端生成参数前剥离 格式错误的消息元数据可导致代理生成崩溃,#65389
v4.10,中危,CLI/devices 配对批准竞争条件,隐式 openclaw devices approve 选择预览最新请求而无需批准确切的请求 ID 设备配对期间存在最新请求竞争,#64160
v4.11,高危,Windows/onboarding 命令执行绕过,Windows 引导通过 cmd /c start 打开提供者 OAuth 和登录 URL 引用的提供者 URL 可分解为主机命令执行,#64161
v4.11,高危,Security/exec approvals 令牌修订,执行审批提示命令文本中的承载令牌 API 密钥和类似秘密在发布回聊天频道前未修订 无论日志修订设置如何,#61077
v4.11,中危,QA channel/security 非HTTP(S) 附件 URL,QA 通道在媒体获取前未拒绝非 HTTP(S) 入站附件 URL 可疑或错误配置的载荷在调试期间不可见,#70708
v4.11,中危,Teams/security Bot Framework 受众令牌重放,共享的 Bot Framework 受众令牌未要求通过验证的 appid 或 azp 命名配置的 Teams 应用 全局受众上的跨机器人令牌重放未被阻止,#70724
v4.11,中危,Anthropic/CLI security 权限模式派生,Claude CLI bypassPermissions 未从 OpenClaw 的现有 YOLO 执行策略派生 显式原始 Claude --permission-mode 覆盖未保留 格式错误的权限模式参数静默回退到绕过,#70723
v4.11,中危,Android/security 明文网关连接,Android 手动和扫描路由接受非回环明文网关连接 私有 LAN 和链本地 ws:// 端点在启用 TLS 前未失败关闭,#70722
v4.11,中危,Pairing/security 明文移动配对端点,明文移动配对接受私有 IP 或回环以外的主机 .local 或无点主机名被视为安全明文端点,#70721
v4.11,中危,Plugins/security 设置 API 查找回退,设置 API 查找回退到启动目录 工作区本地 extensions/<plugin>/setup-api.* 文件可在提供者设置解析期间执行,#70718
v4.11,中危,Approvals/security 聊天执行审批自动启用,仅因为审批者从配置或所有者白名单解析 审批客户端就自动启用 未要求显式聊天执行审批启用,#70715
v4.11,中危,Discord/security 本地斜杠命令通道策略,本地斜杠命令通道策略绕过配置的所有者或成员限制 在不存在更严格的访问规则时错误地回退到通道策略,#70711
v4.11,中危,Android/security ASK_OPENCLAW 意图自动发送,ASK_OPENCLAW 意图自动发送注入的提示 外部应用动作直接派发而不是预填草稿,#70714
v4.11,中危,Agents/image generation 工具警告注入,工具警告中忽略的覆盖值未转义 解析的 MEDIA: 指令可通过不支持的模型选项注入,#70710
v4.11,中危,QQBot/security Bot 审批未授权访问,/bot-approve 未要求框架认证 未授权的 QQ 发送者可通过未认证的预派发斜杠命令路径更改执行审批设置,#70706
v4.11,中危,WhatsApp/security 结构化对象注入,WhatsApp 联系人/vCard/位置结构化对象自由文本进入内联消息体 名称 电话字段和位置标签/注释中存在隐藏提示注入载荷,v4.11
v4.11,中危,Group-chat/security 组名和参与者标签注入,通道来源的组名和参与者标签进入内联组系统提示 未作为围栏的不受信任元数据 JSON 渲染,v4.11
v4.11,中危,Gateway/security 配置写入失败关闭,代理驱动的 gateway config.apply/config.patch 运行时编辑失败开启 依赖手工维护的拒绝列表可能错过新的敏感配置键,#70726
v4.11,中危,Webhooks/security SecretRef 秘密重新解析,SecretRef 支持的 webhook 路由秘密未在每个请求上重新解析 openclaw secrets reload 不能立即撤销之前的秘密,#70727
v4.11,中危,Security/dotenv 端点设置覆盖,工作区 .env 覆盖未阻止 Matrix Mattermost IRC 和 Synology 端点设置 克隆的工作区可通过本地端点配置重定向捆绑连接器流量,#70240
v4.11,中危,Telegram/model picker 未授权访问,组模型选择器回调未要求相同的 /models 授权 未授权参与者可浏览或更改会话模型,#70235
v4.11,中危,Gateway/Control UI 未认证配置读取,启用 gateway.auth 时 /__openclaw/control-ui-config.json 未要求认证 Control UI 读取访问 未认证调用者可读取引导元数据,#70247
v4.11,中危,Security/external content 特殊令牌清理,常见的自托管 LLM 聊天模板特殊令牌字面量(包括 Qwen/ChatML Llama Gemma Mistral Phi 和 GPT-OSS 标记器)未从包装的外部内容和元数据中剥离 存在令牌化器层角色边界欺骗,v4.11
v4.11,中危,Auth/commands 所有者身份要求,所有者强制命令未要求所有者身份 通配符通道 allowFrom 或空所有者候选列表被视为充分 enforceOwnerForCommands=true 且 commands.ownerAllowFrom 未设置时非所有者发送者可通过宽松回退到达仅所有者命令,#69774
v4.11,中危,Synology Chat SSRF via webhook,出站 webhook file_url 值未针对共享 SSRF 策略验证 NAS 可作为困惑代理获取内部地址,#69784
v4.11,中危,Gateway/Control UI avatar 未认证访问,Control UI avatar 路由(GET /avatar/<agentId> 和 ?meta=1 元数据)在配置认证时未要求网关认证 与同级助手媒体路由不匹配,#69775
v4.11,中危,Google Chat/auth gaxios SSRF 保护,Google 认证 gaxios 垫片未使用作用域 SSRF 保护的传输 服务账户认证端点未针对可信 Google URL 验证,v4.11
v4.11,中危,Gateway/MCP loopback 所有者工具可见性,所有者专用工具可见性从调用者控制的所有者头派生而非区分认证的所有者与非所有者回环承载者 非所有者 MCP 子进程可通过欺骗请求元数据恢复所有者访问,#69796
